GTEX_ID	File_Name	Google_URL	AWS_URL	Argon_GUID	Calcium_GUID	Helium_GUID	Xenon_GUID	DOS_URI	md5sum	File size	Assignment
GTEX-13OW5-0003-SM-6WSCR	GTEX-13OW5-0003-SM-6WSCR.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13OW5-0003-SM-6WSCR.cram		dg.4503/db9d9466-d617-4d78-83c7-2249cfbae5a9			dos://dg.4503/db9d9466-d617-4d78-83c7-2249cfbae5a9	77b0930754d8e89049f450438a1d7972	46398489679	Xenon
GTEX-13OW6-0002-SM-6WSAM	GTEX-13OW6-0002-SM-6WSAM.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13OW6-0002-SM-6WSAM.crai		dg.4503/d8115af2-0f1f-4685-92a3-5e1144bca04d			dos://dg.4503/d8115af2-0f1f-4685-92a3-5e1144bca04d	03f01b7b4cf37c0b5d6430df249dedb2	1642850	Xenon
GTEX-13OW6-0002-SM-6WSAM	GTEX-13OW6-0002-SM-6WSAM.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13OW6-0002-SM-6WSAM.cram		dg.4503/5fd621f0-7b14-4b11-9ad6-b27d41d9b821			dos://dg.4503/5fd621f0-7b14-4b11-9ad6-b27d41d9b821	32b566767cab46b6b2f55faeb227b613	49855246247	Xenon
GTEX-13OW7-0001-SM-6WSD2	GTEX-13OW7-0001-SM-6WSD2.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13OW7-0001-SM-6WSD2.crai		dg.4503/3455d88d-0719-44bd-a284-df9db171a3e1			dos://dg.4503/3455d88d-0719-44bd-a284-df9db171a3e1	49edc719da48c31a6ee555136baf87ad	1879691	Xenon
GTEX-13OW7-0001-SM-6WSD2	GTEX-13OW7-0001-SM-6WSD2.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13OW7-0001-SM-6WSD2.cram		dg.4503/26c12e71-9014-401e-9f55-cdb86538d8f3			dos://dg.4503/26c12e71-9014-401e-9f55-cdb86538d8f3	4ca7f55366e4c2b5852b789d55ecf15e	56814279131	Xenon
GTEX-13OW8-0002-SM-6WSAW	GTEX-13OW8-0002-SM-6WSAW.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13OW8-0002-SM-6WSAW.crai		dg.4503/8c5a1c82-bea7-4c70-8fe2-c5dd0d0363be			dos://dg.4503/8c5a1c82-bea7-4c70-8fe2-c5dd0d0363be	662e3a9ed7d0ee864e37a0d40b0765c5	1614284	Xenon
GTEX-13OW8-0002-SM-6WSAW	GTEX-13OW8-0002-SM-6WSAW.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13OW8-0002-SM-6WSAW.cram		dg.4503/ea1d7541-d721-4f3a-9dcb-7838f6d65269			dos://dg.4503/ea1d7541-d721-4f3a-9dcb-7838f6d65269	56500d8cd3c0925f29a49f605de96871	50955020987	Xenon
GTEX-13PL6-0002-SM-6WSCU	GTEX-13PL6-0002-SM-6WSCU.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13PL6-0002-SM-6WSCU.crai		dg.4503/3e4fefbe-a34e-4a09-a9f1-0288b88a9051			dos://dg.4503/3e4fefbe-a34e-4a09-a9f1-0288b88a9051	b08b752042e271bca4aa7f214dd3c57b	1529103	Xenon
GTEX-13PL6-0002-SM-6WSCU	GTEX-13PL6-0002-SM-6WSCU.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13PL6-0002-SM-6WSCU.cram		dg.4503/a3ec6187-fd11-43ee-9cc0-6530294c1c9b			dos://dg.4503/a3ec6187-fd11-43ee-9cc0-6530294c1c9b	29aaf17102d2250ab25086d9ecd77763	47152198514	Xenon
GTEX-13PL7-0003-SM-6WSD3	GTEX-13PL7-0003-SM-6WSD3.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13PL7-0003-SM-6WSD3.crai		dg.4503/cad318c5-c685-427e-b483-b089e9342b9c			dos://dg.4503/cad318c5-c685-427e-b483-b089e9342b9c	50168080ba8d00478529fae1332536df	1592280	Xenon
GTEX-13PL7-0003-SM-6WSD3	GTEX-13PL7-0003-SM-6WSD3.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13PL7-0003-SM-6WSD3.cram		dg.4503/540fb4ec-b7e3-4c88-ab8d-19a67da48bcf			dos://dg.4503/540fb4ec-b7e3-4c88-ab8d-19a67da48bcf	ebcc39be323bb953b506873a32e24ed7	51678971793	Xenon
GTEX-13PLJ-0003-SM-6WSCN	GTEX-13PLJ-0003-SM-6WSCN.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13PLJ-0003-SM-6WSCN.crai		dg.4503/71023c3f-6091-4bf0-a932-22b57de1e82d			dos://dg.4503/71023c3f-6091-4bf0-a932-22b57de1e82d	b9f2c97ce992f86a391c24057ed0557a	1605373	Xenon
GTEX-13PLJ-0003-SM-6WSCN	GTEX-13PLJ-0003-SM-6WSCN.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13PLJ-0003-SM-6WSCN.cram		dg.4503/c548000b-abcf-4cae-a4da-076d9c650b82			dos://dg.4503/c548000b-abcf-4cae-a4da-076d9c650b82	7fd45ff8bf00fc3ce62c31888cea3457	48655450692	Xenon
