This is a list of identifiers associated with the topmed public 107 data set.													
The original manifest was found here: gs://topmed-irc-share/public/TOPMed.public_samples.manifest.2017.11.30.txt													
													
NWD_ID	HapMap_1000G_ID	SEQ_CTR	Google_URL	S3_URL	Argon_GUID	Calcium_GUID	Helium_GUID	Xenon_GUID	DOS_URI	CRAI_URL	md5sum	Assignment	realigned_md5sum
NWD155824	NA12878	Broad	gs://topmed-irc-share/public/NWD155824.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/b0ef8b2f-6984-544d-aea8-ccaa2c444760/NWD155824.recab.cram.crai	ark:/99999/fk41DhAAvG15DzMz	dg.4503/919d2aba-8424-4bfd-8d06-1298c15c9b69	e931f822b661445b8cbf75a6e93c463c		dos://dos.commons.ucsc-cgp.org/919d2aba-8424-4bfd-8d06-1298c15c9b69?version=2018-05-26T134315.395691Z	crai	f5dff8b1108e870973a129290c8e82b8	All	
NWD165827	NA19238	UW	gs://topmed-irc-share/public/NWD165827.recab.cram	s3://cgp-commons-public/topmed_open_access/197bc047-e917-55ed-852d-d563cdbc50e4/NWD165827.recab.cram	ark:/99999/fk41CrU4eszeLUDe	dg.4503/c3d66dc9-58da-411c-83c4-dd656aa3c4b7	4ddc0a5a5d5940ca87f2fd20d0101032		dos://dos.commons.ucsc-cgp.org/c3d66dc9-58da-411c-83c4-dd656aa3c4b7?version=2018-05-26T133719.892835Z	cram	3b33f6b9338fccab0901b7d317577ea3	All	
NWD165827	NA19238	UW	gs://topmed-irc-share/public/NWD165827.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/197bc047-e917-55ed-852d-d563cdbc50e4/NWD165827.recab.cram.crai	ark:/99999/fk41CrU4eszeLUDe	dg.4503/6889f9fa-62b1-4046-9abd-8f92d70a0425	49f91fef979941a8b10f1832ddfbb8b2		dos://dos.commons.ucsc-cgp.org/6889f9fa-62b1-4046-9abd-8f92d70a0425?version=2018-05-26T134315.458557Z	crai	c10c1fe8c3ac1aacfe865826864f561a	All	
NWD176325	NA19238	Broad	gs://topmed-irc-share/public/NWD176325.recab.cram	s3://cgp-commons-public/topmed_open_access/0583d98e-b079-51ae-affc-1c2d6200c84d/NWD176325.recab.cram	ark:/99999/fk41PMwnmQjAqrFl	dg.4503/8634a61f-7a19-4028-8999-77432c5bdad0	e06e8ef769334921b62c52377687900f		dos://dos.commons.ucsc-cgp.org/8634a61f-7a19-4028-8999-77432c5bdad0?version=2018-05-26T133719.955096Z	cram	81e05fb25d38d79f6d3c59666834825d	Argon	
NWD176325	NA19238	Broad	gs://topmed-irc-share/public/NWD176325.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/0583d98e-b079-51ae-affc-1c2d6200c84d/NWD176325.recab.cram.crai	ark:/99999/fk41PMwnmQjAqrFl	dg.4503/ca87a03e-96a6-4dcd-a29a-0a0eaa178937	a9c092deeb6c4d5caa7ac4c6e804b8c4		dos://dos.commons.ucsc-cgp.org/ca87a03e-96a6-4dcd-a29a-0a0eaa178937?version=2018-05-26T134315.520236Z	crai	b93b17b4a21c009f5076292134072fb3	Argon	
NWD183321	NA19238	Broad	gs://topmed-irc-share/public/NWD183321.recab.cram	s3://cgp-commons-public/topmed_open_access/70dcc474-94f0-5eb7-bfda-d9e331b25347/NWD183321.recab.cram	ark:/99999/fk4qy03coQm10bp	dg.4503/deec6ec7-1c15-45cc-aaba-eb11e7aa44f2	8419762191cf444f84ec5d17d13cf4a1		dos://dos.commons.ucsc-cgp.org/deec6ec7-1c15-45cc-aaba-eb11e7aa44f2?version=2018-05-26T133720.017966Z	cram	935b2bbd97dca276f696b3dc05dcb89e	Argon	
NWD183321	NA19238	Broad	gs://topmed-irc-share/public/NWD183321.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/70dcc474-94f0-5eb7-bfda-d9e331b25347/NWD183321.recab.cram.crai	ark:/99999/fk4qy03coQm10bp	dg.4503/2734d5f9-c0ee-45b3-bb16-2fe5ddf4578f	a21a912c445f456fb993b4b320278e94		dos://dos.commons.ucsc-cgp.org/2734d5f9-c0ee-45b3-bb16-2fe5ddf4578f?version=2018-05-26T134315.585532Z	crai	0f375f5d2778908108fbe99b16e9671c	Argon	
NWD191048	NA19238	UW	gs://topmed-irc-share/public/NWD191048.recab.cram	s3://cgp-commons-public/topmed_open_access/ded720e9-84e5-540d-9f22-409968dbb013/NWD191048.recab.cram	ark:/99999/fk41S1eXaZbrnTa7	dg.4503/e4d8123b-7364-4ff1-97c9-dd788cbbd8e5	e31e7f390fd4470196546e472bc351d2		dos://dos.commons.ucsc-cgp.org/e4d8123b-7364-4ff1-97c9-dd788cbbd8e5?version=2018-05-26T133720.090272Z	cram	ec324e174789e9f35b1842dcf3cc34ab	Argon	
NWD191048	NA19238	UW	gs://topmed-irc-share/public/NWD191048.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/ded720e9-84e5-540d-9f22-409968dbb013/NWD191048.recab.cram.crai	ark:/99999/fk41S1eXaZbrnTa7	dg.4503/1f33b8e7-5553-4611-9420-0613b313c8d8	7ea61a15ecc249c1a97ca223a06e1dd6		dos://dos.commons.ucsc-cgp.org/1f33b8e7-5553-4611-9420-0613b313c8d8?version=2018-05-26T134315.665444Z	crai	532aec198bbe91c3636210661a5e1e25	Argon	
NWD230091	HG01110	Broad	gs://topmed-irc-share/public/NWD230091.recab.cram	s3://cgp-commons-public/topmed_open_access/d2249891-9ef7-5cf2-8382-5d572fc98c71/NWD230091.recab.cram	ark:/99999/fk424HKxVQPz4n	dg.4503/4f321007-7560-4594-8c92-77b02d574c51	11208f4e06aa4fd6b1dbb0f6629bfd53		dos://dos.commons.ucsc-cgp.org/4f321007-7560-4594-8c92-77b02d574c51?version=2018-05-26T133720.153687Z	cram	e89690ec6d76bb34cb521c0b53b3347e	Argon	
