gtexid,input,output,size,md5,location,status,workflow_id
GTEX-XV7Q-0004-SM-5JK3G,ark:/57799/b968JVqNj98aV4,,,,,RUNNING,85dea27715fefae6-687e713f4dce9232
GTEX-YEC3-0004-SM-6UH35,ark:/57799/b91BPAEBfFJxT0K,ark:/99999/fk45130X9NyUAdq,2721,82dc8e335c19683902c2435722339535,https://bags.fair-research.org/15378200604710_1_15379620042661.outputs.bdbag.zip,COMPLETE,c798203eb2afd7f7-d3f269ab4a164c55
GTEX-ZTSS-0003-SM-6WBSU,ark:/57799/b9bPSqfIQUVLG5,ark:/99999/fk4J97BwsKSQW28,2725,47b5fa69622ef8e37d2567b5f110e6fc,https://bags.fair-research.org/15378199418105_1_15379670704898.outputs.bdbag.zip,COMPLETE,5c86f130d5c73f82-c701d2100d4da89f
GTEX-ZAJG-0001-SM-6UH3R,ark:/57799/b91OFn3ANBrgKDw,,,,,RUNNING,d0a8fde2e10d921e-232359c0aa15f3d3
GTEX-XUW1-0002-SM-5JK4P,ark:/57799/b91REaeOfdUnyN5,,,,,RUNNING,203748d20b3fe4c5-692a467a2b5b7032
GTEX-ZDXO-0001-SM-6UH3F,ark:/57799/b91JsyYUIpeZ0qg,,,,,RUNNING,9fc3ba69052b019c-397afb159cb3d4c7
GTEX-Z9EW-0002-SM-6UH37,ark:/57799/b9mCCRiTIm4aPL,,,,,RUNNING,c7308edbcf6ae43b-5c09b80c25571781
GTEX-Y5LM-0002-SM-6UH31,ark:/57799/b91JUW3RO5p7E6L,,,,,RUNNING,c205142317a273e4-887854b1ed02be7e
GTEX-ZUA1-0001-SM-6WBSL,ark:/57799/b98td8FVYwFHrd,,,,,RUNNING,df8ca35998536a77-fb482427e2d9855c
GTEX-ZVE2-0002-SM-6WBSQ,ark:/57799/b919W06rjC43qfu,ark:/99999/fk4Ylcrd5vwTXQN,2726,8052a896efc3a7ef758887f55bbbde3e,https://bags.fair-research.org/15378199946967_1_15379663630850.outputs.bdbag.zip,COMPLETE,96ec61a135754ae6-8ab2b2dc65f76fab
GTEX-XMD2-0001-SM-7DLGS,ark:/57799/b9ggX4i7siySXn,ark:/99999/fk4t1Aytsr04pKA,2724,8512df4d9f75ff36ab93ee3d32c609d2,https://bags.fair-research.org/15378194664570_1_15379385121667.outputs.bdbag.zip,COMPLETE,b6b1415ba290c142-5dff3b3778d26dcb
GTEX-ZV7C-0002-SM-6WBSM,ark:/57799/b917pDGxe7qPzPb,,,,,RUNNING,eba78bc96796a94b-bd22b8365e57cabb
